date,species,mean_value,max_value,latitude,longitude
2026-05-17,grass_pollen,0.43,1.2,55.9533,-3.1883
2026-05-17,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-05-17,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-05-17,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-05-18,alder_pollen,0.0,0.0,55.9533,-3.1883
2026-05-18,birch_pollen,0.48,2.1,55.9533,-3.1883
2026-05-18,grass_pollen,0.77,2.5,55.9533,-3.1883
2026-05-18,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-05-18,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-05-18,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-05-19,alder_pollen,0.0,0.0,55.9533,-3.1883
2026-05-19,birch_pollen,0.35,2.3,55.9533,-3.1883
2026-05-19,grass_pollen,0.58,2.2,55.9533,-3.1883
2026-05-19,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-05-19,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-05-19,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-05-20,alder_pollen,0.0,0.0,55.9533,-3.1883
2026-05-20,birch_pollen,0.15,1.1,55.9533,-3.1883
2026-05-20,grass_pollen,0.45,1.4,55.9533,-3.1883
2026-05-20,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-05-20,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-05-20,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-05-21,alder_pollen,0.0,0.0,55.9533,-3.1883
2026-05-21,birch_pollen,0.12,0.8,55.9533,-3.1883
2026-05-21,grass_pollen,0.57,1.8,55.9533,-3.1883
2026-05-21,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-05-21,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-05-21,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-05-22,alder_pollen,0.0,0.0,55.9533,-3.1883
2026-05-22,birch_pollen,0.82,3.2,55.9533,-3.1883
2026-05-22,grass_pollen,1.35,3.4,55.9533,-3.1883
2026-05-22,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-05-22,olive_pollen,0.53,3.2,55.9533,-3.1883
2026-05-22,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-05-23,alder_pollen,0.0,0.0,55.9533,-3.1883
2026-05-23,birch_pollen,0.08,0.3,55.9533,-3.1883
2026-05-23,grass_pollen,1.18,2.4,55.9533,-3.1883
2026-05-23,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-05-23,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-05-23,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-05-24,alder_pollen,0.0,0.0,55.9533,-3.1883
2026-05-24,birch_pollen,0.1,0.6,55.9533,-3.1883
2026-05-24,grass_pollen,1.95,2.6,55.9533,-3.1883
2026-05-24,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-05-24,olive_pollen,0.0,0.0,55.9533,-3.1883
2026-05-24,ragweed_pollen,0.0,0.0,55.9533,-3.1883
2026-05-25,alder_pollen,0.0,0.0,55.9533,-3.1883
2026-05-25,birch_pollen,0.19,0.6,55.9533,-3.1883
2026-05-25,grass_pollen,3.4,4.6,55.9533,-3.1883
2026-05-25,mugwort_pollen,0.0,0.0,55.9533,-3.1883
2026-05-25,olive_pollen,3.15,6.8,55.9533,-3.1883
2026-05-25,ragweed_pollen,0.0,0.0,55.9533,-3.1883
